movie_id,title,year,industry,language,country,genre,director,cast,runtime_minutes,rating,overview,keywords,rag_text,data_type
1117,Tollywood Story 2024 117,2024,Tollywood,Telugu,India,Fantasy,Vikram Singh,Vivek Rao; Emma Brown,92,8.0,"Tollywood Story 2024 117 is a fantasy film released in 2024. It follows Vivek Rao and Emma Brown through a story involving magic, kingdom, legend. The film is directed by Vikram Singh and belongs to the Tollywood film industry.","magic, kingdom, legend","Title: Tollywood Story 2024 117. Year: 2024. Industry: Tollywood. Language: Telugu. Country: India. Genre: Fantasy. Director: Vikram Singh. Cast: Vivek Rao, Emma Brown. Runtime: 92 minutes. Rating: 8.0. Overview: Tollywood Story 2024 117 is a fantasy film released in 2024. It follows Vivek Rao and Emma Brown through a story involving magic, kingdom, legend. The film is directed by Vikram Singh and belongs to the Tollywood film industry. Keywords: magic, kingdom, legend.",synthetic_demo_data
1369,Tollywood Story 2024 369,2024,Tollywood,Telugu,India,Mystery,Vikram Singh,Vivek Rao; Emma Brown,155,7.0,"Tollywood Story 2024 369 is a mystery film released in 2024. It follows Vivek Rao and Emma Brown through a story involving clues, investigation, hidden truth. The film is directed by Vikram Singh and belongs to the Tollywood film industry.","clues, investigation, hidden truth","Title: Tollywood Story 2024 369. Year: 2024. Industry: Tollywood. Language: Telugu. Country: India. Genre: Mystery. Director: Vikram Singh. Cast: Vivek Rao, Emma Brown. Runtime: 155 minutes. Rating: 7.0. Overview: Tollywood Story 2024 369 is a mystery film released in 2024. It follows Vivek Rao and Emma Brown through a story involving clues, investigation, hidden truth. The film is directed by Vikram Singh and belongs to the Tollywood film industry. Keywords: clues, investigation, hidden truth.",synthetic_demo_data
423,Hollywood Story 2022 423,2022,Hollywood,English,United States,Comedy,Daniel Carter,Rahul Verma; Mia Taylor,128,9.0,"Hollywood Story 2022 423 is a comedy film released in 2022. It follows Rahul Verma and Mia Taylor through a story involving friendship, humor, unexpected events. The film is directed by Daniel Carter and belongs to the Hollywood film industry.","friendship, humor, unexpected events","Title: Hollywood Story 2022 423. Year: 2022. Industry: Hollywood. Language: English. Country: United States. Genre: Comedy. Director: Daniel Carter. Cast: Rahul Verma, Mia Taylor. Runtime: 128 minutes. Rating: 9.0. Overview: Hollywood Story 2022 423 is a comedy film released in 2022. It follows Rahul Verma and Mia Taylor through a story involving friendship, humor, unexpected events. The film is directed by Daniel Carter and belongs to the Hollywood film industry. Keywords: friendship, humor, unexpected events.",synthetic_demo_data
414,Hollywood Story 2020 414,2020,Hollywood,English,United States,Thriller,Nisha Kapoor,Olivia Wilson; Ananya Reddy,146,6.6,"Hollywood Story 2020 414 is a thriller film released in 2020. It follows Olivia Wilson and Ananya Reddy through a story involving suspense, investigation, danger. The film is directed by Nisha Kapoor and belongs to the Hollywood film industry.","suspense, investigation, danger","Title: Hollywood Story 2020 414. Year: 2020. Industry: Hollywood. Language: English. Country: United States. Genre: Thriller. Director: Nisha Kapoor. Cast: Olivia Wilson, Ananya Reddy. Runtime: 146 minutes. Rating: 6.6. Overview: Hollywood Story 2020 414 is a thriller film released in 2020. It follows Olivia Wilson and Ananya Reddy through a story involving suspense, investigation, danger. The film is directed by Nisha Kapoor and belongs to the Hollywood film industry. Keywords: suspense, investigation, danger.",synthetic_demo_data
452,Hollywood Story 2023 452,2023,Hollywood,English,United States,Drama,Priya Reddy,Mia Taylor; Ayaan Khan,169,6.4,"Hollywood Story 2023 452 is a drama film released in 2023. It follows Mia Taylor and Ayaan Khan through a story involving family, ambition, relationships. The film is directed by Priya Reddy and belongs to the Hollywood film industry.","family, ambition, relationships","Title: Hollywood Story 2023 452. Year: 2023. Industry: Hollywood. Language: English. Country: United States. Genre: Drama. Director: Priya Reddy. Cast: Mia Taylor, Ayaan Khan. Runtime: 169 minutes. Rating: 6.4. Overview: Hollywood Story 2023 452 is a drama film released in 2023. It follows Mia Taylor and Ayaan Khan through a story involving family, ambition, relationships. The film is directed by Priya Reddy and belongs to the Hollywood film industry. Keywords: family, ambition, relationships.",synthetic_demo_data
862,Bollywood Story 2024 362,2024,Bollywood,Hindi,India,Drama,Maya Sharma,Emma Brown; Ravi Patel,106,7.2,"Bollywood Story 2024 362 is a drama film released in 2024. It follows Emma Brown and Ravi Patel through a story involving family, ambition, relationships. The film is directed by Maya Sharma and belongs to the Bollywood film industry.","family, ambition, relationships","Title: Bollywood Story 2024 362. Year: 2024. Industry: Bollywood. Language: Hindi. Country: India. Genre: Drama. Director: Maya Sharma. Cast: Emma Brown, Ravi Patel. Runtime: 106 minutes. Rating: 7.2. Overview: Bollywood Story 2024 362 is a drama film released in 2024. It follows Emma Brown and Ravi Patel through a story involving family, ambition, relationships. The film is directed by Maya Sharma and belongs to the Bollywood film industry. Keywords: family, ambition, relationships.",synthetic_demo_data
1064,Tollywood Story 2020 064,2020,Tollywood,Telugu,India,Thriller,Sophia Wilson,Sophia Davis; Vivek Rao,126,7.3,"Tollywood Story 2020 064 is a thriller film released in 2020. It follows Sophia Davis and Vivek Rao through a story involving suspense, investigation, danger. The film is directed by Sophia Wilson and belongs to the Tollywood film industry.","suspense, investigation, danger","Title: Tollywood Story 2020 064. Year: 2020. Industry: Tollywood. Language: Telugu. Country: India. Genre: Thriller. Director: Sophia Wilson. Cast: Sophia Davis, Vivek Rao. Runtime: 126 minutes. Rating: 7.3. Overview: Tollywood Story 2020 064 is a thriller film released in 2020. It follows Sophia Davis and Vivek Rao through a story involving suspense, investigation, danger. The film is directed by Sophia Wilson and belongs to the Tollywood film industry. Keywords: suspense, investigation, danger.",synthetic_demo_data
742,Bollywood Story 2023 242,2023,Bollywood,Hindi,India,Drama,Maya Sharma,Emma Brown; Ravi Patel,157,6.2,"Bollywood Story 2023 242 is a drama film released in 2023. It follows Emma Brown and Ravi Patel through a story involving family, ambition, relationships. The film is directed by Maya Sharma and belongs to the Bollywood film industry.","family, ambition, relationships","Title: Bollywood Story 2023 242. Year: 2023. Industry: Bollywood. Language: Hindi. Country: India. Genre: Drama. Director: Maya Sharma. Cast: Emma Brown, Ravi Patel. Runtime: 157 minutes. Rating: 6.2. Overview: Bollywood Story 2023 242 is a drama film released in 2023. It follows Emma Brown and Ravi Patel through a story involving family, ambition, relationships. The film is directed by Maya Sharma and belongs to the Bollywood film industry. Keywords: family, ambition, relationships.",synthetic_demo_data
1273,Tollywood Story 2026 273,2026,Tollywood,Telugu,India,Comedy,Vikram Singh,Vivek Rao; Emma Brown,131,6.2,"Tollywood Story 2026 273 is a comedy film released in 2026. It follows Vivek Rao and Emma Brown through a story involving friendship, humor, unexpected events. The film is directed by Vikram Singh and belongs to the Tollywood film industry.","friendship, humor, unexpected events","Title: Tollywood Story 2026 273. Year: 2026. Industry: Tollywood. Language: Telugu. Country: India. Genre: Comedy. Director: Vikram Singh. Cast: Vivek Rao, Emma Brown. Runtime: 131 minutes. Rating: 6.2. Overview: Tollywood Story 2026 273 is a comedy film released in 2026. It follows Vivek Rao and Emma Brown through a story involving friendship, humor, unexpected events. The film is directed by Vikram Singh and belongs to the Tollywood film industry. Keywords: friendship, humor, unexpected events.",synthetic_demo_data
260,Hollywood Story 2020 260,2020,Hollywood,English,United States,Crime,Priya Reddy,Mia Taylor; Ayaan Khan,121,7.9,"Hollywood Story 2020 260 is a crime film released in 2020. It follows Mia Taylor and Ayaan Khan through a story involving police, conspiracy, investigation. The film is directed by Priya Reddy and belongs to the Hollywood film industry.","police, conspiracy, investigation","Title: Hollywood Story 2020 260. Year: 2020. Industry: Hollywood. Language: English. Country: United States. Genre: Crime. Director: Priya Reddy. Cast: Mia Taylor, Ayaan Khan. Runtime: 121 minutes. Rating: 7.9. Overview: Hollywood Story 2020 260 is a crime film released in 2020. It follows Mia Taylor and Ayaan Khan through a story involving police, conspiracy, investigation. The film is directed by Priya Reddy and belongs to the Hollywood film industry. Keywords: police, conspiracy, investigation.",synthetic_demo_data
